RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CLTUR_ART_VIEWNG_INTRST_DGREE_VALUE,CLTUR_ART_ACT_INTRST_DGREE_VALUE,SPORTS_VIEWNG_INTRST_DGREE_VALUE,SPORTS_ACT_INTRST_DGREE_VALUE,TURSM_TOUR_INTRST_DGREE_VALUE,RCRT_REST_INTRST_DGREE_VALUE,SELF_IMPT_SELF_MANAGE_INTRST_DGREE_VALUE,SCT_EXCHG_INTRST_DGREE_VALUE
"53325659","20241106","M","40대","서울특별시","500이상700만원 미만","비슷하다","비슷하다","비슷하다","비슷하다","조금 커졌다","비슷하다","조금 커졌다","조금 커졌다"
"53325822","20241106","M","60대","충청남도","500이상700만원 미만","비슷하다","조금 커졌다","비슷하다","비슷하다","조금 커졌다","비슷하다","매우 커졌다","조금 커졌다"
"53325858","20241106","F","20대","서울특별시","무응답","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다","조금 커졌다"
"53325912","20241106","F","40대","경상북도","무응답","비슷하다","비슷하다","매우 작아졌다","매우 작아졌다","비슷하다","비슷하다","조금 작아졌다","조금 커졌다"
"53325917","20241106","M","50대","서울특별시","무응답","비슷하다","비슷하다","비슷하다","조금 커졌다","조금 커졌다","조금 작아졌다","비슷하다","조금 커졌다"
"53325999","20241106","M","50대","전라북도","500이상700만원 미만","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
"53326041","20241106","F","30대","경상남도","무응답","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다"
"53326051","20241106","M","40대","서울특별시","700만원 이상","비슷하다","비슷하다","비슷하다","비슷하다","조금 커졌다","비슷하다","조금 커졌다","비슷하다"
"53326254","20241106","M","40대","광주광역시","무응답","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
"53326271","20241106","F","40대","서울특별시","500이상700만원 미만","조금 커졌다","비슷하다","비슷하다","비슷하다","조금 작아졌다","비슷하다","조금 커졌다","조금 작아졌다"
"53326433","20241106","F","40대","충청남도","500이상700만원 미만","비슷하다","비슷하다","비슷하다","매우 커졌다","비슷하다","비슷하다","비슷하다","비슷하다"
"53326759","20241106","M","40대","경기도","700만원 이상","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다"
"53326862","20241106","M","40대","경기도","700만원 이상","매우 커졌다","매우 작아졌다","비슷하다","매우 작아졌다","비슷하다","조금 커졌다","비슷하다","매우 커졌다"
"53327011","20241106","F","50대","경기도","500이상700만원 미만","비슷하다","비슷하다","조금 작아졌다","조금 작아졌다","비슷하다","조금 작아졌다","비슷하다","비슷하다"
"53327058","20241106","M","30대","부산광역시","무응답","비슷하다","비슷하다","비슷하다","비슷하다","비슷하다","조금 작아졌다","조금 작아졌다","조금 작아졌다"
"53327079","20241106","F","50대","대구광역시","300이상500만원 미만","비슷하다","비슷하다","비슷하다","조금 커졌다","조금 커졌다","조금 작아졌다","비슷하다","비슷하다"
"53327158","20241106","M","30대","경기도","300만원 미만","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","매우 커졌다","조금 커졌다","매우 작아졌다"
"53327211","20241106","M","20대","부산광역시","무응답","비슷하다","비슷하다","비슷하다","조금 작아졌다","비슷하다","비슷하다","조금 커졌다","조금 커졌다"
"53327213","20241106","F","20대","인천광역시","무응답","조금 커졌다","조금 커졌다","매우 작아졌다","조금 커졌다","매우 커졌다","조금 커졌다","비슷하다","조금 커졌다"
"53327294","20241106","F","30대","부산광역시","무응답","조금 작아졌다","비슷하다","조금 작아졌다","매우 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","매우 작아졌다"
"53327413","20241106","M","20대","경기도","500이상700만원 미만","조금 커졌다","비슷하다","조금 커졌다","조금 커졌다","조금 커졌다","비슷하다","조금 커졌다","조금 커졌다"
"53327555","20241106","F","40대","세종특별자치시","700만원 이상","비슷하다","비슷하다","조금 커졌다","조금 커졌다","조금 커졌다","비슷하다","비슷하다","비슷하다"
"53327617","20241106","F","40대","인천광역시","무응답","비슷하다","비슷하다","비슷하다","조금 작아졌다","비슷하다","비슷하다","비슷하다","비슷하다"
"53327620","20241106","M","40대","경기도","무응답","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다","조금 작아졌다"
"53327810","20241106","M","40대","경기도","700만원 이상","조금 작아졌다","조금 작아졌다","비슷하다","조금 커졌다","조금 커졌다","비슷하다","비슷하다","비슷하다"
"53327888","20241106","F","50대","경상남도","300만원 미만","비슷하다","비슷하다","조금 작아졌다","조금 작아졌다","매우 커졌다","조금 커졌다","비슷하다","조금 작아졌다"
"53328022","20241106","F","40대","전라북도","무응답","비슷하다","조금 커졌다","매우 작아졌다","조금 작아졌다","비슷하다","조금 커졌다","조금 작아졌다","비슷하다"
